Judul,Alamat,Kamar Tidur,Luas Bangunan,Luas Lahan,Harga,Provinsi
Golden Gemilang Bekasi Tipe Jasmine,Cibitung Bekasi,3,47,84,677642750,Jawa Barat
Paramount Land Fresco Cluster British Tipe L5,Gading Serpong Tangerang,2,53,60,1145800000,Banten
Fortunia Residences 2 Tipe Oak 5x12 Hoek,Pamulang Tangerang Selatan,3,73,81,1895880000,Banten
Cendana Essence Residence Tipe 2,Curug Tangerang,3,68,82,1482913066,Banten
Graha Taruma Tipe Nara,Cirendeu Tangerang Selatan,2,100,59,1821721850,Banten
Griya Permata Tonjong Tipe Ruby,Tajurhalang Bogor,2,45,84,453435000,Jawa Barat
Rumah tanpa Dp di Karawang,Cirejag Karawang,2,36,72,370000000,Jawa Barat
Dekat Toll Aeon BSD Rumah Rapih Terawat Cluster Cosmo The Icon,Sampora Tangerang,3,79,119,2150000000,Banten
Tanpa DP rumah 2 Lantai cluster Assana Starlight Vanya Park BSD City,Pagedangan Tangerang,2,52,77,1620000000,Banten
Jual Cepat Rumah 2 Lantai Cluster Boston Village Gading Serpong,Gading Serpong Tangerang,3,80,60,1680000000,Banten
RUMAH COMPACT MODERN GADING SERPONG SIAP HUNI JUAL MURAH,Gading Serpong Tangerang,3,87,90,1675000000,Banten
Rumah Semi Furnished Cluster ILLUSTRIA The Eminent BSD,Pagedangan Tangerang,3,160,180,4000000000,Banten
Bangunan tumbuh rumah 2 Lantai Cluster Lavender Gading Serpong,Gading Serpong Tangerang,3,87,119,2400000000,Banten
Type Master Rumah 2 Lantai Cluster Edison Scientia Gading Serpong,Gading Serpong Tangerang,3,114,105,2400000000,Banten
Dijual WTS Rumah Cluster Tesla,Gading Serpong Tangerang,2,62,66,1650000000,Banten
Serenade Lake Gading Serpong Paramount,Gading Serpong Tangerang,4,108,112,2000000000,Banten
Tanpa DP Rumah 3 Lantai Cluster Vasya Tanakayu BSD Furnished,Bumi Serpong Damai Tangerang Selatan,3,137,84,2933835625,Banten
Termurah Rumah 2 Lantai Cluster Prestigia The Eminent BSD City,Bumi Serpong Damai Tangerang Selatan,3,141,120,2700000000,Banten
Jual Cepat Rumah 2 Lantai Cluster Nittaya The Avani BSD CIty,Bumi Serpong Damai Tangerang Selatan,3,85,128,2200000000,Banten
Jual Cepat Furnished Rumah 2 Lantai Cluster Versailes BSD City,Bumi Serpong Damai Tangerang Selatan,3,180,144,3000000000,Banten
Termurah Rumah 2 lantai Cluster Amarine The Mozia BSD City,Bumi Serpong Damai Tangerang Selatan,2,65,60,1550000000,Banten
Gading Serpong Samara Village,Gading Serpong Tangerang,4,130,80,2300000000,Banten
Dijual Rumah Regensi Melati Mas,Bumi Serpong Damai Tangerang Selatan,3,50,68,850000000,Banten
Rumah moderen classic 2 lantai Free biaya KPR dekat GDC Cilodong Depok,Cilodong Depok,3,100,65,980000000,Jawa Barat
Townhouse baru dibelakang Paramount School,Bukit Sangkal Palembang,2,67,104,824500000,Unknown
Rumah Taman Ratu Jakarta Barat 3 lantai lokasi strategis,Duri Kepa Jakarta Barat,4,105,129,3000000000,DKI Jakarta
Hanya 2 5 Juta punya Rumah Cluster Mewah Cicilan 2 Jutaan,Parung Bogor,2,30,60,439000000,Jawa Barat
Darmawangsa Residence Cluster Singosari Tipe Srikandi,Tambun Utara Bekasi,3,55,78,925057000,Jawa Barat
Dijual rumah siap huni di Bumi Bintaro Permai dekat Tol J 18713,Bintaro Jakarta Selatan,3,180,140,2520000000,DKI Jakarta
Dijual cepat rumah MURAH strategis dekat Pondok Indah Jakarta Selatan,Pondok Indah Jakarta Selatan,3,145,78,3465475000,DKI Jakarta
Rumah Bebas Banjir di Griya Melati Mas 1 Harga Nego Siap KPR J 16109,Sukmajaya Depok,2,49,72,700000000,Jawa Barat
Rumah Strategis di Villa Mutiara Gading 2 Harga All In Nego J 20485,Tambun Utara Bekasi,3,115,60,1060000000,Jawa Barat
Rumah Minimalis Perum Karang Satria Green Residence Siap KPR J 20508,Tambun Utara Bekasi,2,108,108,830000000,Jawa Barat
Jual Rumah Minimalis 2 Lantai 10 menit ke Pasar Mini Ciputat J 11787,Ciputat Tangerang Selatan,3,130,96,1610000000,Banten
Jual Rumah di Taman Puri Cendana 15 menit ke Stasiun Tambun J 21039,Tambun Utara Bekasi,3,120,60,510000000,Jawa Barat
Dijual Rumah Seken Dekat Lebak Bulus Perumahan Bangun Lestari J 17553,Ciputat Tangerang Selatan,4,170,135,2250000000,Banten
Rumah 2 LT Gaya Bali 10 Menit Tol Cijago Cimanggis Promo Gratis Biaya,Cimanggis Depok,3,66,65,852000000,Jawa Barat
Rumah Strategis Bisa Nego Dekat Pintu Tol Bambu Apus Siap KPR J 15850,Cipayung Jakarta Timur,2,115,75,1610000000,DKI Jakarta
Rumah Strategis Siap Huni Dekat Stasiun Sudimara Siap KPR Nego J 21091,Pamulang Tangerang Selatan,2,49,105,1400000000,Banten
Dijual Rumah siap huni dalam perumahan elit Citra Grand Mutiara,Sleman Sleman,3,98,135,1250000000,DI Yogyakarta
Rumah Siap KPR 15 menit ke Gerbang Tol Brigif Bebas Banjir J 19539,Beji Depok,3,98,98,1370000000,Jawa Barat
Rumah Siap Huni Dijual di Perum Vida Bekasi Harga All In KPR J 20316,Bantar Gebang Bekasi,3,108,90,830000000,Jawa Barat
Jual Rumah Sudah Renovasi Cluster Emerald Town house Bintaro,Tangerang Selatan,4,110,84,2300000000,Banten
Dijual rumah baru full furnished di Kebayoran Residence Bintaro,Bintaro Tangerang Selatan,3,83,72,2200000000,Banten
Rumah Dijual Antapani Bandung Baru Renovasi,Antapani Bandung,3,97,90,975000000,Jawa Barat
Dijual Cepat BU Siap Huni Furnish Rumah Citra Raya Cikupa Tangerang,Cikupa Tangerang,2,45,84,1000000000,Banten
Dijual Rumah Modern Siap Huni Dekat UGM Jl Kaliurang KM 6 8,Sleman Sleman,4,180,111,1700000000,DI Yogyakarta
RUMAH JAPANESE STYLE DI JOGJA BARAT HANYA 250 JUTA SAJA,Sentolo Kulon Progo,2,36,70,250000000,DI Yogyakarta
Rumah Baru Dalam Cluster di Pondok Kelapa Jakarta Timur,Pondok Kelapa Jakarta Timur,3,160,102,2950000000,DKI Jakarta
Jual cepat bu rumah di komplek BTN paropo indah,Panakkukang Makassar,3,90,108,525000000,Unknown
dijual cepat rumah minimalis bagus prima aryana karawaci tangerang,Karawaci Tangerang,3,83,72,1100000000,Banten
Rumah Baru Taman Luas Dekat Tol Andara Sawangan Cinere Limo Depok,Rangkapan Jaya Depok,2,40,107,910000000,Jawa Barat
Dijual Rumah Hoek Minimalis di Perumahan Citra Maja 2 Pecatu,Maja Lebak,1,32,108,275000000,Banten
Rumah Terbaru di Jakarta Barat Dekat Bandara Cocok Untuk Milenial,Jakarta Barat,4,98,55,1800000000,DKI Jakarta
Rumah Syariah DP 0 Cuma 1 Km Ke Stasiun KRL Depok,Pancoran Mas Depok,3,50,38,599000000,Jawa Barat
Rumah Dijual Galaxy Bekasi Bebas Banjir di Cluster,Duren Sawit Jakarta Timur,4,117,100,1900000000,DKI Jakarta
Rumah Tanah Luas Rapi Siap Huni Furnish KPR Ringan Griya Loka BSD,Serpong Tangerang Selatan,2,80,90,1499999999,Banten
Jual Rumah di Duta Harapan Telaga Mas Strategis Dekat Babelan J 19312,Babelan Bekasi,3,110,60,1010000000,Jawa Barat
Dijual rumah seken di Cendana Residence Pamulang bisa KPR J 18425,Pamulang Tangerang Selatan,2,65,120,1560000000,Banten
Rumah Luas Scandinavian dekat stasiun di Mampang Pancoran mas Depok,Pancoran Mas Depok,3,84,84,1200000000,Jawa Barat
RUMAH BARU CLUTER,Baki Sukoharjo,3,60,83,455000000,Jawa Tengah
Paradise Serpong City Tipe Arstone,Setu Tangerang Selatan,2,57,60,1141000000,Banten
Golden Park 2 Tipe Sakura,Cisauk Tangerang,3,50,51,939776550,Banten
Golden Park 2 Tipe Azalea,Cisauk Tangerang,3,60,75,1179667800,Banten
Golden Park 2 Tipe Redwood Hook,Cisauk Tangerang,4,142,163,2519889955,Banten
Golden Park 3 Tipe New Oryza,Cisauk Tangerang,3,51,60,899000000,Banten
Metland Tambun Bekasi Tipe Azalea,Tambun Selatan Bekasi,3,97,128,2116800000,Jawa Barat
Cluster Limeberry Grand Mekarsari Residence,Cileungsi Bogor,2,30,60,462000000,Jawa Barat
Cluster Garnet Place Tipe Millenial Home AKR GEM City,Manyar Gresik,2,28,66,540800000,Jawa Timur
Cluster Ridge Crystal Tipe 40 72 Harvest City,Cileungsi Bogor,2,40,72,700000000,Jawa Barat
Cluster Oxalis Tipe C Metland Puri,Cipondoh Tangerang,3,67,66,1650000000,Banten
Mississippi Kota Wisata Tipe 97,Gunung Putri Bogor,3,97,72,1505394000,Jawa Barat
Tipe Aspen Cifest,Cikarang Selatan Bekasi,1,21,56,333200000,Jawa Barat
Tipe Mahogani Cifest,Cikarang Selatan Bekasi,1,21,60,366550000,Jawa Barat
Tipe Nevada Cifest,Cikarang Selatan Bekasi,1,23,60,437850000,Jawa Barat
Tipe Manchester Cifest,Cikarang Selatan Bekasi,3,60,120,1058850000,Jawa Barat
Tipe La Spezia Cifest,Cikarang Selatan Bekasi,3,120,180,2014500000,Jawa Barat
Tipe Minesotta Cifest,Cikarang Selatan Bekasi,2,45,102,841500000,Jawa Barat
Tipe Derby Mutiara Columbus,Mustika Jaya Bekasi,1,21,60,331000000,Jawa Barat
Metland Cibitung Cluster Alamanda Tipe Mandeville,Cibitung Bekasi,3,65,84,877710500,Jawa Barat
Metland Cibitung Cluster Salvia Tipe Lavender,Cibitung Bekasi,1,30,72,578604401,Jawa Barat
Cluster HuckleBerry Grand Mekarsari Residence,Cileungsi Bogor,2,25,70,460000000,Jawa Barat
Metland Cibitung Cluster Spring Terrace Tipe 27,Cibitung Bekasi,1,27,72,495000000,Jawa Barat
Metland Cibitung Cluster Spring Terrace Tipe 37,Cibitung Bekasi,2,37,72,535000000,Jawa Barat
Taman Jatisari Permai Tipe 150,Jatiasih Bekasi,4,150,162,2765000000,Jawa Barat
Tipe Minimalis 54 64 Taman Jatisari Permai,Jatiasih Bekasi,2,54,64,1122940000,Jawa Barat
Tipe Arcadia Minimalis 37 65 Grand Victoria Taman Jatisari Permai,Jatiasih Bekasi,2,37,65,937200000,Jawa Barat
Tipe 36 60 Grand Victoria 2 Taman Jatisari Permai,Jatiasih Bekasi,2,36,60,875130000,Jawa Barat
Myza BSD City Tipe 44 36 Flathouse,Pagedangan Tangerang,1,44,36,1243453000,Banten
Aquila Valley Tipe Maleo,Ciseeng Bogor,2,32,60,275000000,Jawa Barat
Aquila Valley Tipe Garuda Prime,Ciseeng Bogor,2,32,60,446400000,Jawa Barat
Jual Cepat Rumah bebas banjir dekat Akses Tol dan Stasiun,Depok Depok,3,100,155,1500000000,Jawa Barat
Dijual Rumah Bebas Banjir di Serpong Garden Dekat Pusat Belanja J 8538,Serpong Tangerang Selatan,3,54,60,970000000,Banten
Rumah cluster wisteria basilia luas 9x16 144m2 type 4KT Metland Cakung,Cakung Jakarta Timur,4,144,144,3800000000,DKI Jakarta
Rumah 2 Lantai sudah Renovasi ANGGREK LOKA BSD Tangerang Selatan,Bumi Serpong Damai Tangerang Selatan,4,200,150,2500000000,Banten
Mutiara Damai Cipayung Tipe E,Cipayung Jakarta Timur,4,121,104,2205840000,DKI Jakarta
Rumah Area Sektor 2 Bintaro Jaya,Bintaro Tangerang Selatan,3,126,135,3200000000,Banten
Mandar Bintaro Jaya,Bintaro Tangerang Selatan,4,110,135,2400000000,Banten
Graha Raya Bintaro,Bintaro Tangerang Selatan,2,71,112,1750000000,Banten
Ammarila The Avani BSD,Bumi Serpong Damai Tangerang Selatan,4,100,144,2550000000,Banten
The Savia Rumah Dengan Posisi Hook Di Bsd City,Bumi Serpong Damai Tangerang Selatan,3,78,95,1700000000,Banten
Rumah illustria the eminent BSD,Bumi Serpong Damai Tangerang Selatan,3,92,126,2650000000,Banten
Cluster Verdant view The Icon BSD,Bumi Serpong Damai Tangerang Selatan,4,200,144,3100000000,Banten
Jual Rumah Sheffield Greenwich BSD type 9 Brand New,Bumi Serpong Damai Tangerang Selatan,3,170,180,3900000000,Banten
rumah di bsd city clstr sheffield greenwich park harga siap nego,Bumi Serpong Damai Tangerang Selatan,3,130,160,3500000000,Banten
Rumah cantik Beryl Summarecon Gading Serpong,Gading Serpong Tangerang,3,160,128,2800000000,Banten
Citra Maja Raya,Maja Lebak,2,36,72,175000000,Banten
Rumah 2 lantai di The Icon Verdant Ville BSD City Tangerang,Tangerang,3,125,112,1950000000,Banten
Regency Melati Mas,Serpong Tangerang Selatan,3,100,124,1350000000,Banten
rumah di bsd city clstr sheffield greenwich park nego sampai deal,Bumi Serpong Damai Tangerang Selatan,3,170,180,4000000000,Banten
RUMAH SEMI FURNISHED SIAP HUNI THE SPRINGS GADING SERPONG FLAMINGGO,Gading Serpong Tangerang,4,140,128,3450000000,Banten
RUMAH HUK PHG GADING SERPONG SIAP HUNI RENOV SEMI FURNISHED,Gading Serpong Tangerang,4,179,135,2950000000,Banten
RUMAH SIAPO HUNI GADING SERPONG ATLANTA VILLAGE MURAH,Gading Serpong Tangerang,3,82,80,1700000000,Banten
Jual Rumah 2 Lantai Cluster Ingenia The Eminent BSD CIty,Bumi Serpong Damai Tangerang Selatan,3,114,136,2900000000,Banten
RUMAH SIAP HUNI SEMI FURNISHED THE GREEN BSD CITY DEKAT TOL,Bumi Serpong Damai Tangerang Selatan,3,153,180,3200000000,Banten
Rumah Strategis dekat CBD Ciledug Family Mall bisa KPR Nego J 19238,Bintaro Tangerang Selatan,3,82,82,430000000,Banten
Jual Cepat Rumah 2 Lantai Cluster Karelia Village Gading Serpong,Gading Serpong Tangerang,3,95,77,1750000000,Banten
Termurah Rumah 2 Lantai Cluster Precia Eminent BSD City,Bumi Serpong Damai Tangerang Selatan,3,171,135,3400000000,Banten
Depan Taman Rumah Cluster Hylands Lebar 8 Greenwich Park BSD,Pagedangan Tangerang,3,133,112,2450000000,Banten
RUMAH HUK SEMI FURNISHED GADING SERPONG SYMPHONIA PASTI SUKA,Gading Serpong Tangerang,3,130,90,2475000000,Banten
RUMAH KLASIK GADING SERPONG MURAH BUTUH RENOV HARGA SAHABAT NEGO,Gading Serpong Tangerang,2,88,105,1700000000,Banten
Rumah Cluster Simplicity The Icon BSD City,Bumi Serpong Damai Tangerang Selatan,3,60,105,1600000000,Banten
Gading Serpong Cluster Bohemia,Gading Serpong Tangerang,3,120,120,2300000000,Banten
Jual Rumah Hook 2 Lantai Cluster Edison Scientia Gading Serpong,Gading Serpong Tangerang,2,114,148,2800000000,Banten
Jual Rugi Rumah Furnished Cluster Invensihaus Tabebuya BSD City,Bumi Serpong Damai Tangerang Selatan,3,68,50,1550000000,Banten
Jual Rumah 2 Lantai Cluster Sevilla Park Kencana Loka BSD City,Bumi Serpong Damai Tangerang Selatan,2,65,72,1625000000,Banten
Rumah Baru Siap Huni Savia Park BSD City Jual Murah,Bumi Serpong Damai Tangerang Selatan,3,81,72,1450000000,Banten
Dijual Rumah Kavling Cluster Mexicano,Bumi Serpong Damai Tangerang Selatan,3,200,128,2400000000,Banten
Dijual Rumah Vivacia,Bumi Serpong Damai Tangerang Selatan,4,110,128,2950000000,Banten
Dijual Rumah Martinez,Gading Serpong Tangerang,3,60,52,1550000000,Banten
Ingenia The Eminent BSD,Bumi Serpong Damai Tangerang Selatan,4,114,144,2700000000,Banten
rumah cantik illustria the eminent BSD,Bumi Serpong Damai Tangerang Selatan,3,114,144,2900000000,Banten
Alam Sutera Cluster Feronia Park Full Furnished Rapih SIap Huni,Alam Sutera Tangerang Selatan,4,124,119,2800000000,Banten
Rumah Rapih di Sevilla Bsd Stock Langka Depan Taman,Bumi Serpong Damai Tangerang Selatan,3,93,128,2500000000,Banten
rumah cantik di bsd city clstr sheffield greenwich park siap nego,Bumi Serpong Damai Tangerang Selatan,3,130,160,3500000000,Banten
Rumah Minimalis 2 Lantai 3 Kt di Sekitar Bintaro bisa KPR DP 0 SHM,Bintaro Tangerang Selatan,3,70,60,1300000000,Banten
Rumah Baru 2 Lantai 3 Kt di Sekitar Bintaro bisa KPR DP 0 SHM,Bintaro Tangerang Selatan,3,70,60,1150000000,Banten
Rumah Baru Impresahaus BSD Tangerang Siap Huni Furnished,Cisauk Tangerang,3,88,60,2050000000,Banten
Cluster Visana The Savia BSD Type 87 84,Bumi Serpong Damai Tangerang Selatan,3,87,84,1775000000,Banten
Rumah Cluster Sheffield Greenwich Park Bsd,Pagedangan Tangerang,3,130,160,3500000000,Banten
Termurah rumah 2 Lantai cluster Amarilla Avani BSD City,Cisauk Tangerang,3,85,112,1950000000,Banten
Harga Cakep Rumah Rapih Cluster Verdant View The Icon BSD,Sampora Tangerang,3,100,144,2600000000,Banten
Jual Cepat Rumah 2 Lantai Cluster Fiordini Gading Serpong,Gading Serpong Tangerang,3,130,119,2100000000,Banten
RUMAH FULL RENOV GADING SERPONG DALTON SUMMARECON SIAP HUNI,Gading Serpong Tangerang,3,170,126,2500000000,Banten
Hook Rumah 2 Lantai Cluster New Karelia Village Gading Serpong,Gading Serpong Tangerang,3,78,98,2500000000,Banten
RUMAH BARU GADING SERPONG HUK SIAP HUNI JUAL MODAL,Gading Serpong Tangerang,3,78,98,2500000000,Banten
Jual Cepat Rumah 2 Lantai Cluster Fresco Foresta BSD City,Bumi Serpong Damai Tangerang Selatan,3,190,186,3500000000,Banten
Termurah Rumah 2 Lantai Cluster Vivacia The Eminent BSD City,Bumi Serpong Damai Tangerang Selatan,3,140,128,3100000000,Banten
Rumah 2 Lantai Kencana Loka BSD City,Bumi Serpong Damai Tangerang Selatan,4,135,98,2150000000,Banten
Jual Cepat Rumah 2 Lantai Cluster Tesla Gading Serpong SHM,Gading Serpong Tangerang,2,63,66,1600000000,Banten
Jual Cepat Rumah 2 Lantai Cluster Alegria BSD City,Bumi Serpong Damai Tangerang Selatan,4,110,105,2350000000,Banten
New di Kencana Loka Bsd Kt Sudah 4 Bonus Kanopi Siap Huni SHM,Serpong Utara Tangerang Selatan,4,176,132,2700000000,Banten
Rumah 2 Lantai Mewah Cantik Dan Elegan Cempaka Putih Tengah 26,Cempaka Putih Jakarta Pusat,2,77,39,1360125000,DKI Jakarta
Jual rumah di Bogor deket stasiun KRL Bojong Gede,Bojong Gede Bogor,2,36,76,495000000,Jawa Barat
Rumah Dijual Indihiang Tasikmalaya,Indihiang Tasikmalaya,2,38,72,279000000,Jawa Barat
Rumah Cipinang Baru 2 lantai dekat St KA Klender,Cipinang Jakarta Timur,3,90,76,2350000000,DKI Jakarta
Rumah Hook Siap Huni di Nusa Loka BSD Harga Nego Bisa KPR J 16021,Serpong Tangerang Selatan,3,78,117,1791000000,Banten
Konsep Mazzanine 1 5 lantai Tanpa DP Setu Bekasi,Cikarang Bekasi,2,40,80,400000000,Jawa Barat
Rumah Dijual 8 menit ke Tol Jatikarya 2 Harga Nego Siap KPR J 16536,Jatisampurna Bekasi,4,100,98,1600000000,Jawa Barat
Jual Rumah Minimalis Strategis di Komplek Nerada Bisa KPR J 17217,Ciputat Tangerang Selatan,2,140,90,1610000000,Banten
Rumah mewah murah dijakarta putih cempaka putih,Cempaka Putih Jakarta Pusat,3,77,39,1400000000,DKI Jakarta
Rumah Strategis di Kaisar Mansion Blom Harga All In Bisa KPR J 9739,Karawaci Tangerang,3,66,60,1800000000,Banten
Dijual Rumah murah di Pisangan Timur Jakarta timur,Pisangan Timur Jakarta Timur,2,59,30,818000000,DKI Jakarta
Like New Eminent Bsd L8 Selatan Semi Furnished Kitset Ac,Tangerang Tangerang,3,144,128,3100000000,Banten
Dijual rumah di Perumahan Permata Depok Regency,Depok,3,62,84,680000000,Jawa Barat
Rumah Ready Stock 3 Kamar Tidur di Atang Sanjaya Bogor,Ranca Bungur Bogor,3,50,90,550000000,Jawa Barat
Rumah Siap Huni Bisa Nego di Villa Bogor Indah Bebas Banjir J 15729,Sentul City Bogor,2,54,78,820000000,Jawa Barat
Rumah di sawangan 400jutaan cuma 3 menit ke waterboom putri duyung,Sawangan Depok,3,50,50,480000000,Jawa Barat
RUMAH DI KOTA MAKASSAR JLN ANDI TONDRO,Ujung Pandang Baru Makassar,3,86,126,950000000,Unknown
HARVEST PONDOK CABE,Pamulang Tangerang Selatan,3,112,90,1572000000,Banten
Rumah Mewah Lokasi Strategis di Taman Solo Cempaka Putih Jakarta Pusat,Cempaka Putih Jakarta Pusat,4,129,51,2020000000,DKI Jakarta
JUAL RUMAH DI BEKASI WISMA ASRI 2 DEKAT STASIUN KERETA,Bekasi Utara Bekasi,2,80,96,550000000,Jawa Barat
Dijual rumah golf island pik 3 lantai ukuran 75m 6x12 5,Pantai Indah Kapuk Jakarta Utara,3,153,75,3000000000,DKI Jakarta
Penta Park Residence Tipe Emerald,Joglo Jakarta Barat,2,90,90,2204900000,DKI Jakarta
Golden City Cluster Gardenia Tipe Dahlia Hoek,Bekasi Utara Bekasi,3,63,72,1056619000,Jawa Barat
Springhill Yume Lagoon Tipe Sakura,Cisauk Tangerang,2,72,72,1127094000,Banten
Grand Wisata Water Terrace I Tipe T 100,Tambun Selatan Bekasi,4,100,140,3191271482,Jawa Barat
Mutiara Gading City New Paris Tipe Le Blanc,Setia Asih Bekasi,3,48,72,739000000,Jawa Barat
BSD City Tanakayu Svadhi Tipe 6,Pagedangan Tangerang,3,86,66,2973238000,Banten
Graha Tirta Asri Tipe Lily,Ciseeng Bogor,2,36,72,520000000,Jawa Barat
Askara Nue Tipe 7,Pagedangan Tangerang,3,89,77,2544526000,Banten
Grand Residence City Bekasi Cluster Dharmawangsa Mansion Tipe 32,Setu Bekasi,2,32,60,592100000,Jawa Barat
Emerald City Tipe Diamond,Cibinong Bogor,3,88,84,1122950000,Jawa Barat
Maison de Wisteria Tipe C,Cakung Jakarta Timur,4,144,120,3100000000,DKI Jakarta
Mutiara Gading City Tipe New Onyx,Tarumajaya Bekasi,1,32,56,432000000,Jawa Barat
Graha Raya Cluster Vazza Tipe 5 x 17,Serpong Utara Tangerang Selatan,4,112,85,2150800000,Banten
Cluster Victoria Elok Tipe Bougenville,Setia Mulya Bekasi,2,38,72,439230000,Jawa Barat
Palm Vilamas Estate Tipe 60,Sawangan Depok,3,60,72,800425000,Jawa Barat
Panjibuwono City Cluster Majapahit Tipe Lake Homes,Babelan Bekasi,2,36,72,647901000,Jawa Barat
Cluster Bluebell Tipe 27 Samesta Parayasa,Parung Panjang Bogor,2,27,60,370000000,Jawa Barat
Panjibuwono City Cluster Brawijaya Tipe Ayana,Babelan Bekasi,2,34,72,583631000,Jawa Barat
Cendana Botanic Type 1,Kelapa Dua Tangerang,2,55,60,816714258,Banten
Panjibuwono City Cluster Majapahit Tipe Garden 33,Babelan Bekasi,2,33,72,631300000,Jawa Barat
Panjibuwono City Cluster Majapahit Tipe Boulevard,Babelan Bekasi,3,43,72,712048000,Jawa Barat
Paradise Serpong City Tipe Clubana,Serpong Tangerang Selatan,2,55,60,1295000000,Banten
Kahfi Park Residence Tipe Exclusive,Jagakarsa Jakarta Selatan,3,130,61,2488000000,DKI Jakarta
Kahfi Signature Residence Tipe 6,Jagakarsa Jakarta Selatan,4,186,70,3180000000,DKI Jakarta
Lavesh Phase 2 Kota Harapan Indah Tipe Parvez Sudut 68 hoek,Tarumajaya Bekasi,3,68,140,2325000000,Jawa Barat
Myza BSD City Tipe 44 36 Flathouse,Pagedangan Tangerang,1,44,36,1243453000,Banten
Tipe Arcadia Minimalis 37 65 Grand Victoria Taman Jatisari Permai,Jatiasih Bekasi,2,37,65,937200000,Jawa Barat
Bintaro Land Tipe Hoek,Ciputat Tangerang Selatan,3,130,126,2450000000,Banten
PIK 2 Bukit Nirmala Tipe Kemuning,Penjaringan Jakarta Utara,3,127,80,3624000000,DKI Jakarta
Bumi Bantar Panjang Tipe Tulip,Tigaraksa Tangerang,2,30,60,331000000,Banten
Citaville Pilar Cikarang Tipe Calgary Deluxe,Karangbahagia Bekasi,3,74,66,706300000,Jawa Barat
Cendana Botanic Tipe Residence,Bojong Nangka Tangerang,3,68,74,985883088,Banten
Citaville Parung Panjang Tipe Calgary,Parung Panjang Bogor,2,48,60,538000000,Jawa Barat
Graha Raya Cluster Dammara Tipe Cedarwood,Serpong Tangerang Selatan,4,135,120,3716000000,Banten
Kingspoint Private Residence Tipe Camelia 99,Teluk Pucung Bekasi,3,99,72,1416940000,Jawa Barat
Neville Residence Tipe Nerada,Ciputat Tangerang Selatan,3,67,72,1446000000,Banten
Green Park Residence Tipe Camelia,Sodong Tangerang,3,90,60,645000000,Banten
Summarecon Serpong Cluster Carson Tipe 9,Kelapa Dua Tangerang,3,135,121,3544875000,Banten
Anwa Residence Tipe 72 132,Kembangan Jakarta Barat,3,132,72,2257200000,DKI Jakarta
Golden Hills Tipe Siena Premium,Gunung Putri Bogor,2,53,72,959000000,Jawa Barat
Metland Cibitung Cluster Havana Tipe 38 72,Cibitung Bekasi,2,38,72,673000000,Jawa Barat
Serpong Green Paradise Tipe Orchid 2 Lantai,Parung Panjang Bogor,3,60,84,567000000,Jawa Barat
Golden Hills Tipe Cortona,Gunung Sindur Bogor,2,36,72,747000000,Jawa Barat
Golden City Cluster Greenwood Tipe Cedar Khusus Hoek,Teluk Pucung Bekasi,3,68,81,1160465050,Jawa Barat
Golden City Cluster Greenwood Tipe Oakwood,Teluk Pucung Bekasi,3,86,95,1396286493,Jawa Barat
Golden City Cluster Diamond Tipe Topaz Hoek,Teluk Pucung Bekasi,2,57,70,1008973350,Jawa Barat
Panjibuwono City Cluster Boulevard Tipe Zinnia,Babelan Bekasi,2,58,72,911015000,Jawa Barat
Lotus Residence Tipe Standar,Teluknaga Tangerang,2,27,54,540000000,Banten
Paramount New Amarillo Village Tipe L4,Pagedangan Tangerang,2,41,32,856700000,Banten
Grand Almas Residence Tipe Ruby,Tigaraksa Tangerang,2,37,60,498800000,Banten
Graha Raya Cluster Fortune Garden Tipe Hazel,Ciledug Tangerang,3,71,72,1590900000,Banten
PIK 2 Kuningan Village Tipe Carnelian 6x15,Penjaringan Jakarta Utara,3,106,90,3555000000,DKI Jakarta
Cluster Albasia 2 at Green Ara Tipe Oliver,Tarumajaya Bekasi,3,54,70,1266000000,Jawa Barat
Gladiola Residence Tipe 96 84 Corner,Larangan Tangerang,2,96,106,1750653748,Banten
Padma Hills Tipe 29,Gunung Sindur Bogor,2,29,60,304532993,Jawa Barat
Griya Parama Tipe 60,Cileungsi Bogor,3,60,98,796000000,Jawa Barat
Golden Kencana Tangerang Tipe Platina,Curug Tangerang,3,52,60,830960000,Banten
Heritage Residence at Puri 11 Tipe The 7 Corner,Karang Tengah Tangerang,4,164,113,3966094714,Banten
Avoria Estate Cluster Barlia 1 lantai Tipe 53 90,Kemang Bogor,2,53,90,681000000,Jawa Barat
Summarecon Crown Gading Cluster Regia tipe 5 x 11,Setia Asih Bekasi,2,50,55,952380000,Jawa Barat
Desain Rumah Efisien Cluster Danisha at Tera Damai Tipe 65 Sudut,Medan Satria Bekasi,3,65,105,1050000000,Jawa Barat
Cluster Victoria Green Residence Tipe Monza,Setia Mulya Bekasi,2,52,130,1364100000,Jawa Barat
Grand Duta City South of Jakarta Tipe Keila,Parung Bogor,2,47,72,887999695,Jawa Barat
Kota Harapan Indah Asera Nishi Tipe N8 Hook,Medan Satria Bekasi,3,110,173,3395000000,Jawa Barat
Kota Harapan Indah Asera Nishi Tipe N8,Medan Satria Bekasi,3,106,104,2518000000,Jawa Barat
Grand Duta City Cluster Carmel Tipe Cannery,Babelan Bekasi,3,47,72,973300309,Jawa Barat
Kemang Eminence Tipe Frangipani,Kemang Bogor,4,69,105,1265000000,Jawa Barat
